Id,sig,Color
n0,3.7438265705719447,#46307E
n1,2.4232420565837587,#482172
n2,9.920159904615515,#2E6F8E
n3,7.645636769578009,#375A8C
n4,16.693897913111012,#24AA83
n5,3.3423260702615845,#472C7A
n6,6.389032261668818,#3D4D8A
n7,7.936959425942107,#365D8D
n8,18.694001454994975,#3BBB75
n9,11.9261955020364,#26818E
n10,20.42351869113642,#5AC864
n11,9.871306034942013,#2E6E8E
n12,5.1872192504972325,#424086
n13,7.888595620066812,#365C8D
n14,19.796725028359223,#4EC36B
n15,9.651810258108325,#2F6C8E
n16,15.238829178899135,#1F9D89
n17,11.41165807591176,#287C8E
n18,2.3921803688511494,#482072
n19,14.262985299951328,#1F958B
n20,9.042904243862418,#31678E
n21,3.765738385370594,#46307E
n22,16.469642883413826,#22A884
n23,10.266227405923813,#2C728E
n24,8.638869869209534,#33638D
n25,22.739801694457277,#8CD646
n26,14.071142011426991,#20938C
n27,12.233238426001797,#25838E
n28,15.788860784289824,#1FA287
n29,4.810570133552922,#433C84
n30,9.699134775920331,#2E6D8E
n31,13.211100097451366,#228C8D
n32,9.97310657281542,#2D6F8E
n33,4.387609618710009,#453882
n34,4.898932447466038,#433D85
n35,0.007471342308039956,#440154
n36,8.626020725384159,#33638D
n37,18.689699558361287,#3BBB75
n38,5.97714312064994,#3F4989
n39,5.14534303960341,#424086
n40,4.0648110907704575,#463480
n41,3.4862442708414516,#472D7C
n42,0.21649623640180174,#450457
n43,2.692387930918498,#482475
n44,6.9388212165564545,#3A538B
n45,2.7062166635444838,#482475
n46,0.01976113327899485,#440154
n47,16.077585699796362,#20A586
n48,4.579236252390412,#443A83
n49,11.75571355916434,#277F8E
n50,2.8637529440065626,#482676
n51,10.53862406481935,#2B748E
n52,4.779659470818502,#433C84
n53,6.285949622109265,#3D4C8A
n54,1.8846296530427897,#481A6C
n55,10.469589139268482,#2C748E
n56,7.6803014564154894,#375A8C
n57,6.345135824072943,#3D4D8A
n58,2.7061655674723837,#482475
n59,6.584992962797717,#3C4F8B
n60,5.378203255223921,#414287
n61,9.573609799062387,#2F6C8E
n62,3.9056921595690257,#46327F
n63,1.6040875499804117,#481769
n64,14.804750253795477,#1F9A8A
n65,11.533681087448862,#287D8E
n66,19.393791333636997,#47C06F
n67,10.573756237170606,#2B758E
n68,7.254001994480728,#39568C
n69,4.586080996385316,#443A83
n70,13.400943183558384,#228D8D
n71,4.186496682543563,#453581
n72,8.840538914396378,#32658E
n73,0.15461552582891835,#450356
n74,17.863943829512994,#30B47C
n75,22.056824438383895,#7CD250
n76,5.998746454958358,#3F4989
n77,10.502462775641092,#2B748E
n78,10.778766223900252,#2A768E
n79,6.8136421163189045,#3B518B
n80,7.930138152944788,#365C8D
n81,12.814007846092238,#23888E
n82,18.814611497934333,#3DBC74
n83,15.076365417692982,#1E9C89
n84,14.86166515598522,#1F9A8A
n85,14.908326702134714,#1E9B8A
n86,8.08776834205644,#355E8D
n87,1.107332059179347,#471063
n88,21.93041449090664,#7AD151
n89,10.19306953965388,#2D718E
n90,23.207710514078688,#97D83E
n91,27.425963714595774,#FDE725
n92,13.30196478231137,#228D8D
n93,15.299365706937406,#1F9E89
n94,14.44752644497899,#1F978B
n95,23.58521107751912,#A1DA38
n96,14.191908063447537,#1F948C
n97,12.107199430077978,#26828E
n98,12.807209382078415,#23888E
n99,16.527008047715974,#23A984
n100,2.3634977310101037,#482071
n101,10.402763801925543,#2C738E
n102,16.39335069217473,#22A784
n103,8.49674848186233,#33628D
n104,10.241182957127947,#2C728E
n105,25.45159994390991,#CFE11D
n106,15.935128899128653,#20A386
n107,20.58374436962264,#5DC962
n108,12.119275551864968,#26828E
n109,9.278381680464541,#30698E
n110,16.447779729989097,#22A884
n111,26.438162758983154,#E7E419
n112,16.68325379624739,#24AA83
n113,19.375389288647128,#46C06F
n114,8.963155712354679,#31668E
n115,23.503812345225178,#9FDA3A
n116,12.891800509002085,#23898E
n117,13.403650826106984,#228D8D
n118,25.444472213238456,#CFE11D
n119,12.100475753766307,#26828E
n120,14.294772062741353,#1F958B
n121,13.05873630793197,#238A8D
n122,6.450913281842794,#3D4E8A
n123,8.508723551363547,#33628D
n124,12.401536638396475,#25858E
n125,3.7811150360276207,#46317E
n126,0.3010087553208621,#450558
n127,1.209076005092043,#471264
n128,0.00014462613181530912,#440154
n129,0.09849422183871334,#440255
n130,0.01379074808526688,#440154
n131,0.8314962687201568,#470C5F
n132,0.7721964316710735,#460C5F
n133,0.7068129277565861,#460B5E
n134,0.0018308724230056553,#440154
n135,0.2019512781924857,#450457
n136,0.01369133661410208,#440154
n137,1.8372374629916368,#481A6C
n138,3.9237474909521013,#46327F
n139,1.2642906328026842,#471265
n140,0.21935616638443908,#450457
n141,0.2423986470539084,#450457
n142,1.1634512525274232,#471164
n143,0.000879310410424239,#440154
n144,0.8021221747684331,#470C5F
n145,0.2191986219840215,#450457
n146,0.07889968944787881,#440255
n147,0.5706724154579867,#46095C
n148,0.06919186086094711,#440255
n149,3.2219805858478408,#472A79
n150,0.0017409710203346526,#440154
n151,0.01190642267119272,#440154
n152,1.3074426902193037,#471365
n153,0.32816111045589713,#450559
n154,0.0014123401697691217,#440154
n155,5.882978889881835,#3F4889
n156,5.57444002566145,#404587
n157,1.9047866150084953,#481A6D
n158,17.141983937378427,#28AE80
n159,9.62249887707041,#2F6C8E
n160,8.072662233376617,#355E8D
n161,4.554916225431408,#443983
n162,13.97242411117298,#20928C
n163,7.128510990496385,#39558C
n164,10.277944793906151,#2C728E
n165,10.126194409649264,#2D718E
n166,3.458611831093376,#472D7B
n167,12.55659999408631,#24868E
n168,6.1890113161658675,#3E4B89
n169,8.199650517735,#355F8D
n170,7.101683981903779,#3A548C
n171,5.969253759199773,#3F4989
n172,6.773038288796548,#3B518B
n173,1.2449440034539958,#471265
n174,5.600473266051059,#404588
n175,8.244814069332703,#345F8D
n176,5.540653788232373,#414487
n177,8.258458955638611,#34608D
n178,8.684642018645839,#33648D
n179,7.8348315746244355,#365C8D
n180,3.8941204296208056,#46327F
n181,15.519342309338708,#1FA088
n182,0.9494996468085143,#470E61
n183,1.854763701666587,#481A6C
n184,0.008067646384486036,#440154
n185,4.049009927858211,#463480
n186,0.5926754029185936,#46095C
n187,0.36066179467714043,#450659
n188,4.380912407232754,#453782
n189,0.544136646978124,#46085C
n190,0.6190568566203891,#46095D
n191,0.7552010703083712,#460B5E
n192,1.4683011925063751,#481567
n193,2.97446634839509,#482777
n194,1.0297954823998579,#470F62
n195,3.178138121368026,#482A79
n196,0.12425873758507294,#450356
n197,0.0001323091740724048,#440154
n198,0.5247741130218786,#46085B
n199,0.0009798776657002975,#440154
n200,0.0785649738419921,#440255
n201,1.3168523436314024,#481366
n202,0.15443168222436485,#450356
n203,3.7041126704420595,#47307D
n204,0.012965676025118802,#440154
n205,2.096171176988408,#481D6F
n206,0.00036563658941564945,#440154
n207,0.3731694144937072,#450659
n208,0.4615628761711305,#46075A
n209,0.08208263757288159,#440255
n210,2.642684872683517,#482374
n211,0.14562832629579145,#450356
n212,0.033603920256344406,#440254
n213,0.9642057659769325,#470E61
n214,3.4975987033582085,#472D7C
n215,3.2448192928645216,#472A7A
n216,0.13107071561157285,#450356
n217,0.8357485700226465,#470C5F
n218,0.6546289579817508,#460A5D
n219,0.0045915875143562965,#440154
n220,3.030391575597723,#482878
n221,0.13728485680034425,#450356
n222,2.0247644855751115,#481C6E
n223,0.588354713889291,#46095C
n224,4.148960552125074,#453580
n225,0.3726616286203289,#450659
n226,0.5290452759068609,#46085B
n227,1.154864733392446,#471164
n228,3.535323722287999,#472E7C
n229,4.2468895284415416,#453681
n230,0.5977876039430743,#46095C
n231,3.7616790241745734,#46307E
n232,0.38230382408113905,#450659
n233,4.941928606716759,#433E85
n234,6.40973802481589,#3D4D8A
n235,2.6872412764401497,#482475
n236,0.6400828876277489,#460A5D
n237,0.9690877375356205,#470E61
n238,0.5176011959406093,#46085B
n239,2.5998919390298854,#482374
n240,2.4262489483270686,#482172
n241,1.5029260693394395,#481568
n242,0.651725884039147,#460A5D
n243,1.0211585332561797,#470F62
n244,0.6307565672731349,#46095D
n245,2.975086051414708,#482777
n246,1.3540999234638922,#481466
n247,1.8070889372904253,#48196B
n248,2.2845761082121503,#481F71
n249,2.896828880338784,#482677
